dataset,model,true_target,predicted_target
lebenshilfe_ood,Variante A (Statisch),0.15851852297782898,0.063780277967453
lebenshilfe_ood,Variante A (Statisch),0.3246951103210449,0.096037857234478
lebenshilfe_ood,Variante A (Statisch),0.5059795379638672,0.4103457033634186
lebenshilfe_ood,Variante A (Statisch),0.18999595940113068,0.1265588402748108
lebenshilfe_ood,Variante A (Statisch),1.0,0.7012808918952942
lebenshilfe_ood,Variante A (Statisch),1.0,0.5647590756416321
lebenshilfe_ood,Variante A (Statisch),0.9165622591972351,0.4386763572692871
lebenshilfe_ood,Variante A (Statisch),0.9595265984535217,0.5932899117469788
lebenshilfe_ood,Variante A (Statisch),0.16249999403953552,0.03813319653272629
lebenshilfe_ood,Variante A (Statisch),0.9404096603393555,0.5382174253463745
lebenshilfe_ood,Variante A (Statisch),0.3728562295436859,0.3398464620113373
lebenshilfe_ood,Variante A (Statisch),0.43626323342323303,0.5094997882843018
lebenshilfe_ood,Variante A (Statisch),0.8253373503684998,0.6152383089065552
lebenshilfe_ood,Variante A (Statisch),0.4408155679702759,0.29718759655952454
lebenshilfe_ood,Variante A (Statisch),0.9593392610549927,0.4853416383266449
lebenshilfe_ood,Variante A (Statisch),0.27314284443855286,0.038606081157922745
lebenshilfe_ood,Variante A (Statisch),0.21796338260173798,0.17130832374095917
lebenshilfe_ood,Variante A (Statisch),0.3519391119480133,0.18043377995491028
lebenshilfe_ood,Variante A (Statisch),0.2481076568365097,0.183091402053833
lebenshilfe_ood,Variante A (Statisch),0.833050012588501,0.3400236666202545
lebenshilfe_ood,Variante A (Statisch),0.3299282193183899,0.31608203053474426
lebenshilfe_ood,Variante A (Statisch),0.7439053058624268,0.737544059753418
lebenshilfe_ood,Variante A (Statisch),0.482566237449646,0.27950459718704224
lebenshilfe_ood,Variante A (Statisch),0.4969044327735901,0.5831838250160217
lebenshilfe_ood,Variante A (Statisch),0.5418757200241089,0.433295339345932
lebenshilfe_ood,Variante A (Statisch),0.8229877352714539,0.5730661153793335
lebenshilfe_ood,Variante A (Statisch),0.5391608476638794,0.6708534359931946
lebenshilfe_ood,Variante A (Statisch),0.7114953398704529,0.4874405562877655
lebenshilfe_ood,Variante A (Statisch),0.7971367835998535,0.6300331354141235
lebenshilfe_ood,Variante A (Statisch),0.592822253704071,0.40221479535102844
lebenshilfe_ood,Variante A (Statisch),0.8380604982376099,0.6950120329856873
lebenshilfe_ood,Variante A (Statisch),0.7234042286872864,0.3469865918159485
lebenshilfe_ood,Variante A (Statisch),0.6940344572067261,0.5043376684188843
lebenshilfe_ood,Variante A (Statisch),0.5505587458610535,0.17574742436408997
lebenshilfe_ood,Variante A (Statisch),0.8982651233673096,0.7624589204788208
lebenshilfe_ood,Variante A (Statisch),0.33759263157844543,0.43344613909721375
lebenshilfe_ood,Variante A (Statisch),0.6195240020751953,0.34712615609169006
lebenshilfe_ood,Variante A (Statisch),0.5428005456924438,0.4866253733634949
lebenshilfe_ood,Variante A (Statisch),0.5650517344474792,0.5801043510437012
lebenshilfe_ood,Variante A (Statisch),0.33010023832321167,0.5616664290428162
lebenshilfe_ood,Variante A (Statisch),0.3528279960155487,0.20858506858348846
lebenshilfe_ood,Variante A (Statisch),0.05021253973245621,0.06927867978811264
lebenshilfe_ood,Variante A (Statisch),0.33387306332588196,0.23664812743663788
lebenshilfe_ood,Variante A (Statisch),0.29438328742980957,0.3721679747104645
lebenshilfe_ood,Variante A (Statisch),0.5176803469657898,0.42402926087379456
lebenshilfe_ood,Variante A (Statisch),0.2529260516166687,0.1218414455652237
lebenshilfe_ood,Variante A (Statisch),0.44796618819236755,0.3224404752254486
lebenshilfe_ood,Variante A (Statisch),0.2252470999956131,0.09655828773975372
lebenshilfe_ood,Variante A (Statisch),0.1755101978778839,0.20709478855133057
lebenshilfe_ood,Variante A (Statisch),0.22093360126018524,0.1790061742067337
lebenshilfe_ood,Variante A (Statisch),0.1178910955786705,0.42841774225234985
lebenshilfe_ood,Variante A (Statisch),0.9980168342590332,0.6830461025238037
lebenshilfe_ood,Variante A (Statisch),0.572903573513031,0.5727037191390991
lebenshilfe_ood,Variante A (Statisch),0.36512261629104614,0.47765854001045227
lebenshilfe_ood,Variante A (Statisch),0.11623215675354004,0.5086319446563721
lebenshilfe_ood,Variante A (Statisch),0.013865239918231964,0.6754276752471924
lebenshilfe_ood,Variante A (Statisch),0.7748880386352539,0.7951015830039978
lebenshilfe_ood,Variante A (Statisch),0.3014705777168274,0.6296840906143188
lebenshilfe_ood,Variante A (Statisch),0.4541427791118622,0.5447070002555847
lebenshilfe_ood,Variante A (Statisch),0.8715110421180725,0.7203498482704163
lebenshilfe_ood,Variante A (Statisch),0.34610244631767273,0.3494698703289032
